Iteration,Hg,Hp,Ht,Hr,dist_sum
49,0.8097591660923499,-5.190240833907651,0.8097591660923499,0.8097591660923499,1.6916219009395035
50,0.8054084876851911,-5.19459151231481,0.8054084876851911,0.8054084876851911,1.7202985258697274
51,0.8012062752207,-5.198793724779301,0.8012062752207,0.8012062752207,1.7484118402170654
52,0.7970479046718656,-5.202952095328135,0.7970479046718656,0.7970479046718656,1.7765364798901513
53,0.7930152344987621,-5.20698476550124,0.7930152344987621,0.7930152344987621,1.80430922636883
54,0.7890951127865992,-5.210904887213402,0.7890951127865992,0.7890951127865992,1.831699009358296
55,0.785280694078373,-5.214719305921628,0.785280694078373,0.785280694078373,1.858839667302231
56,0.7815878752546837,-5.218412124745318,0.7815878752546837,0.7815878752546837,1.88576962867566
57,0.7780194376385302,-5.22198056236147,0.7780194376385302,0.7780194376385302,1.9120689085070186
58,0.7745459592889913,-5.22545404071101,0.7745459592889913,0.7745459592889913,1.9384263170955256
59,0.7711717159028021,-5.228828284097198,0.7711717159028021,0.7711717159028021,1.9643100401012263
60,0.7679145950460071,-5.2320854049539935,0.7679145950460071,0.7679145950460071,1.9899576742729235
61,0.7648122622441379,-5.235187737755862,0.7648122622441379,0.7648122622441379,2.0149435373614395
62,0.7618356151526938,-5.238164384847307,0.7618356151526938,0.7618356151526938,2.0396323900250612
63,0.7590047976540247,-5.240995202345976,0.7590047976540247,0.7590047976540247,2.0637428534884164
64,0.7562605576124277,-5.243739442387573,0.7562605576124277,0.7562605576124277,2.087665448077343
65,0.7535978339090784,-5.246402166090923,0.7535978339090784,0.7535978339090784,2.1113797240912078
66,0.7510651606175793,-5.248934839382422,0.7510651606175793,0.7510651606175793,2.1347263344063125
67,0.748642037649732,-5.251357962350269,0.748642037649732,0.748642037649732,2.157524154502559
